Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
CHI,193,1,22.73,1,1.01,11,.161,4,.124,25,.036,9,30.13,8,5.41,14,2.34,1,.598
CAR,184,2,23.91,2,1.29,2,.201,3,.125,3,.076,15,30.45,10,5.45,10,2.31,4,.621
DAL,186,3,24.42,12,1.51,19,.134,21,.081,20,.054,12,30.24,3,5.22,2,2.23,5,.623
BAL,184,4,24.65,9,1.46,22,.130,25,.065,11,.065,30,33.27,14,5.55,15,2.35,7,.637
TB,182,5,24.69,5,1.39,12,.154,11,.093,15,.060,21,31.55,7,5.39,16,2.36,2,.618
ARI,191,6,24.91,20,1.76,18,.136,22,.079,18,.058,23,32.41,1,4.98,1,2.22,10,.642
WAS,189,7,24.95,10,1.47,16,.143,17,.085,17,.058,19,31.45,5,5.30,3,2.24,3,.619
JAX,182,8,25.09,3,1.32,15,.143,7,.110,30,.033,1,26.75,9,5.42,11,2.31,6,.636
GB,189,9,25.23,15,1.63,26,.111,29,.053,16,.058,32,34.57,4,5.29,5,2.28,9,.641
PIT,178,10,25.42,4,1.38,13,.152,18,.084,9,.067,16,30.47,21,5.75,18,2.36,11,.643
PHI,203,11,25.53,16,1.67,24,.118,19,.084,27,.034,20,31.52,2,5.19,9,2.29,8,.639
NYG,195,12,26.17,11,1.47,5,.174,14,.087,1,.087,3,28.64,12,5.50,6,2.29,13,.649
SD,183,13,26.36,14,1.62,28,.104,28,.055,21,.049,25,32.61,15,5.57,4,2.28,19,.673
MIA,195,14,26.74,13,1.58,17,.138,23,.072,10,.067,5,28.87,16,5.65,20,2.40,15,.665
SEA,183,15,27.07,7,1.44,21,.131,13,.087,22,.044,7,29.46,27,5.90,25,2.43,12,.648
DEN,176,16,27.29,6,1.43,3,.182,6,.114,7,.068,2,27.85,19,5.70,8,2.29,17,.669
CLE,175,17,27.38,17,1.68,23,.120,16,.086,28,.034,29,33.22,29,6.00,30,2.54,16,.668
TEN,183,18,27.63,29,2.07,29,.104,30,.049,19,.055,4,28.69,6,5.32,7,2.29,24,.681
MIN,185,19,27.84,23,1.85,8,.162,2,.130,31,.032,28,33.12,20,5.70,22,2.40,20,.673
ATL,186,20,27.87,19,1.76,14,.151,15,.086,12,.065,10,30.16,13,5.51,17,2.36,23,.679
NYJ,174,21,28.11,26,1.96,10,.161,5,.121,24,.040,24,32.59,30,6.12,31,3.03,29,.699
IND,166,22,28.27,8,1.45,4,.181,8,.108,4,.072,14,30.42,28,5.90,28,2.51,14,.658
DET,178,23,28.80,18,1.75,6,.174,9,.107,8,.067,17,31.04,25,5.79,27,2.47,25,.681
STL,188,24,29.12,31,2.21,20,.133,24,.069,14,.064,27,33.03,11,5.49,12,2.32,27,.696
NO,172,25,29.15,27,2.01,30,.099,27,.058,23,.041,22,31.58,17,5.66,24,2.42,21,.674
KC,174,26,29.30,21,1.79,9,.161,12,.092,6,.069,18,31.32,18,5.68,13,2.32,22,.679
OAK,183,27,29.49,24,1.92,27,.104,32,.027,2,.077,26,32.63,26,5.83,26,2.47,18,.670
