Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
NFL,,,33.93,,2.16,,.115,,.073,,.042,,28.15,,6.21,,2.53,,.727
DEN,28,3,25.82,1,0.71,6,.179,4,.143,14,.036,3,24.14,8,5.82,4,2.29,3,.627
CAR,32,1,17.31,2,0.94,19,.094,13,.094,25,.000,15,27.53,1,4.75,1,2.18,1,.563
BUF,32,2,23.88,3,1.16,8,.156,12,.094,10,.063,23,29.03,2,5.44,5,2.32,2,.600
NO,33,8,29.12,4,1.27,4,.212,2,.182,23,.030,13,27.24,16,6.09,12,2.45,4,.667
CIN,34,4,25.82,5,1.38,15,.118,14,.088,24,.029,21,28.38,22,6.41,20,2.59,6,.678
NE,30,5,27.40,6,1.47,7,.167,3,.167,29,.000,19,28.13,18,6.17,17,2.54,9,.679
ARI,35,7,28.49,7,1.49,5,.200,15,.086,1,.114,4,24.34,4,5.54,2,2.20,7,.678
PHI,31,10,29.71,8,1.84,29,.032,31,.000,18,.032,1,23.23,24,6.55,25,3.09,18,.742
DAL,32,17,34.91,9,1.94,1,.250,1,.188,11,.063,18,27.69,6,5.75,6,2.32,12,.706
LAR,28,24,39.00,10,1.96,12,.143,9,.107,15,.036,10,26.21,31,7.50,31,3.27,26,.768
LV,33,13,32.88,11,1.97,21,.091,26,.030,12,.061,6,24.97,19,6.24,9,2.41,11,.694
PIT,32,11,31.03,12,2.06,25,.063,25,.031,21,.031,28,31.50,11,5.97,14,2.50,10,.683
NYJ,33,9,29.45,13,2.12,26,.061,30,.000,13,.061,32,37.36,9,5.85,16,2.51,8,.679
CLE,28,6,28.00,14,2.14,28,.036,20,.036,26,.000,16,27.54,10,5.86,11,2.44,5,.677
LAC,27,30,42.41,15,2.22,2,.222,6,.111,2,.111,7,25.33,29,7.11,27,3.10,27,.777
MIN,34,21,36.32,16,2.29,27,.059,19,.059,28,.000,8,25.76,3,5.47,7,2.40,13,.713
BAL,33,16,34.85,17,2.36,20,.091,18,.061,22,.030,14,27.30,7,5.82,10,2.44,19,.753
HOU,32,19,35.91,18,2.38,9,.156,5,.125,20,.031,11,26.69,13,6.06,18,2.55,23,.761
SF,31,27,40.32,19,2.39,30,.032,23,.032,30,.000,9,25.77,25,6.58,15,2.51,20,.753
